dx,dz
<<<<<<< HEAD
0.7204515321786711,1.0
0.9149111999451834,0.44756497273674267
1.2881006069719318,0.28833271009949224
1.030752643997745,0.6686931138218409
0.9413045886662846,0.4051425233421676
0.7609271204743911,0.29150120311706884
0.7130081653862337,0.4438906368036201
0.6650188759298793,0.8407955234448696
0.48309547588812635,0.3789376801180755
0.4501683026626963,0.3021229439273066
0.4191624360826483,0.2506593414434498
0.3902174521918074,0.21330597746966737
0.3363368013186173,0.17274648065401838
0.29026909081036134,0.1425438369408644
0.21175900171966744,0.11274340806256282
0.10035220785053357,0.08330223278544974
0.0035267674268320667,0.033992898047728856
2.419885460838459e-05,0.00045981260584990804
2.5784515420050794e-09,6.908669597275064e-08
=======
2.2175924083727465,1.0
0.7452624666602086,0.6084997485906913
1.0998597631365936,0.0605369651289637
2.981950641788926,0.014153869229290197
1.1683763025710818,0.03845202246850406
2.1909694246831797,0.003640036951372446
1.8093970817401344,0.04970641103741218
0.5081586617545888,0.047771490005486666
0.08969658586910736,0.0612910673618883
0.01608610200725522,0.0007388505464032591
0.0002780306869360696,1.1211571368750024e-05
8.928085908531297e-07,4.10334459522564e-09
>>>>>>> refs/remotes/origin/TCSC+SVC+UPFC
